,NumberStMax,Coverage %,Response time (in hours)
0,1,28,7.2727272727272725
1,2,30,0.0
2,3,38,7.2727272727272725
3,4,46,7.2727272727272725
4,5,48,7.2727272727272725
5,6,52,7.2727272727272725
6,7,52,7.2727272727272725
7,8,56,7.2727272727272725
8,9,60,7.2727272727272725
9,10,64,7.2727272727272725
