,Weights,Objective Value,Coverage %,Response time (in hours)
0,"[0.6, 0.1, 0.3]",163.3502007104686,87,101.81818181818181
1,"[0.1, 0.2, 0.7]",224.27388788203157,78,87.27272727272727
2,"[0.8, 0.1, 0.1]",201.06201657119416,92,123.63636363636364
3,"[0.3, 0.3, 0.4]",401.19084420344154,88,109.0909090909091
4,"[0.4, 0.1, 0.5]",129.26752917889496,80,87.27272727272727
