,NumberStMax,Coverage %,Response time (in hours)
0,1,22,29.09090909090909
1,2,41,58.18181818181818
2,3,59,80.0
3,4,81,109.0909090909091
4,5,90,109.0909090909091
5,6,97,109.0909090909091
6,7,98,94.54545454545455
7,8,99,94.54545454545455
8,9,99,80.0
9,10,99,72.72727272727273
