,Weights,Objective Value,Coverage %,Response time (in hours)
0,"[0.6, 0.1, 0.3]",180.8592822848806,97,72.72727272727273
1,"[0.1, 0.2, 0.7]",252.00143686130644,82,43.63636363636363
2,"[0.8, 0.1, 0.1]",213.4635742370601,100,72.72727272727273
3,"[0.3, 0.3, 0.4]",424.1901115604811,98,72.72727272727273
4,"[0.4, 0.1, 0.5]",149.74255121260435,87,50.90909090909091
